,training_loss,testing_loss
349,0.32793194,0.35036322
350,0.32792228,0.35033596
351,0.32790715,0.35031247
352,0.32789052,0.35028133
353,0.32787782,0.35026464
354,0.3278616,0.3502366
355,0.32789534,0.35021862
356,0.32787126,0.3501855
357,0.32786065,0.350158
358,0.32781845,0.35012457
359,0.32779115,0.35010374
360,0.32773998,0.35008198
361,0.32776088,0.350054
362,0.3277456,0.3500317
363,0.32773787,0.35000974
364,0.327731,0.3499883
365,0.32768947,0.34996063
366,0.32767016,0.34994194
367,0.32767567,0.34991935
368,0.32764024,0.34989658
369,0.32761878,0.34987244
370,0.32759994,0.34984618
371,0.3275966,0.34983382
372,0.32758313,0.34980938
373,0.32757103,0.3497876
374,0.32755288,0.34976634
375,0.32752293,0.34974638
376,0.32752723,0.3497268
377,0.32751256,0.34970054
378,0.3274926,0.3496811
379,0.32748002,0.3496608
380,0.32748288,0.34963214
381,0.32747358,0.34961626
382,0.3274549,0.3495904
383,0.3274242,0.34957305
384,0.32742834,0.34954858
385,0.32739395,0.34952766
386,0.3273897,0.3495079
387,0.32736376,0.3494875
388,0.32736152,0.3494664
389,0.3272968,0.34944743
390,0.32729602,0.34942466
391,0.3272785,0.34940398
392,0.3272689,0.34938064
393,0.32727462,0.3493622
394,0.32723093,0.3493399
395,0.3272586,0.34932038
396,0.32722136,0.3492961
397,0.32722005,0.34927383
398,0.3272099,0.34924975
399,0.32718554,0.34922886
400,0.32715663,0.34920388
401,0.32716426,0.349183
402,0.32714486,0.3491686
403,0.32711697,0.34914544
404,0.32709217,0.34912404
405,0.32708335,0.34910122
406,0.32704687,0.34907943
407,0.32703972,0.34905306
408,0.32699537,0.3490353
409,0.32701236,0.3490155
410,0.32698932,0.34899485
411,0.32695028,0.3489716
412,0.32693893,0.34895402
413,0.3269185,0.34892425
414,0.3269145,0.3489144
415,0.3269029,0.3488863
416,0.32687944,0.3488684
417,0.32684785,0.34884602
418,0.3268348,0.3488294
419,0.32680532,0.34881008
420,0.32677197,0.34878573
421,0.32678282,0.3487698
422,0.3267559,0.34875035
423,0.3267412,0.348732
424,0.32672042,0.34871107
425,0.32668504,0.34869722
426,0.3267228,0.3486781
427,0.32666752,0.3486588
428,0.3266789,0.34864038
429,0.32663962,0.34862453
430,0.32663512,0.34860218
431,0.32664594,0.34858415
432,0.32661122,0.34856242
433,0.32663268,0.34854725
434,0.32659474,0.34852767
435,0.32660356,0.348512
436,0.32655826,0.34849066
437,0.32660162,0.34847087
438,0.32656586,0.34845826
439,0.3265513,0.34843796
440,0.3265553,0.3484165
441,0.32651824,0.3484004
442,0.32651335,0.34837794
443,0.32649022,0.34836593
444,0.32648042,0.34834784
445,0.3264472,0.3483307
446,0.32643628,0.348313
447,0.32641953,0.34829184
448,0.32645044,0.34828025
449,0.32638833,0.34825966
450,0.3263754,0.34824273
451,0.3263786,0.34822518
452,0.3263864,0.3482063
453,0.32635662,0.34818834
454,0.32636243,0.34816706
455,0.32634518,0.34815496
456,0.32633737,0.34813327
457,0.3263231,0.34811845
458,0.32633394,0.34809494
459,0.326329,0.3480809
460,0.32629704,0.34806034
461,0.32626396,0.34804532
462,0.3262342,0.34802383
463,0.32624474,0.34800833
464,0.3262332,0.34798995
465,0.32626295,0.347975
466,0.32624245,0.34795484
467,0.32622352,0.34793538
468,0.32619005,0.34791636
469,0.3262348,0.34789973
470,0.3261814,0.34788817
471,0.32618052,0.34786123
472,0.32615656,0.34784615
473,0.3261915,0.34783208
474,0.3261578,0.3478126
475,0.32614988,0.34779158
476,0.32614666,0.34777474
477,0.3261243,0.3477555
478,0.32609215,0.34774387
479,0.32608086,0.34772408
480,0.32610488,0.3477054
481,0.32605428,0.34768695
482,0.32605192,0.3476755
483,0.32605472,0.34765667
484,0.32605347,0.3476428
485,0.3260369,0.34762058
486,0.32600206,0.34760296
487,0.32603672,0.34759417
488,0.32599443,0.34757102
489,0.3259797,0.3475588
490,0.32598484,0.34754226
491,0.32596308,0.34752312
492,0.32594463,0.3475043
493,0.32598266,0.3474913
494,0.3259599,0.34746873
495,0.32591358,0.34745112
496,0.3259009,0.347437
497,0.32588097,0.3474189
498,0.32589927,0.34740147
499,0.32588294,0.34738263
500,0.32585064,0.347368
501,0.32585427,0.34734952
502,0.32584757,0.34733546
503,0.32583514,0.34731364
504,0.32581303,0.34729978
505,0.32583332,0.34728086
506,0.32578656,0.34726664
507,0.3257627,0.3472478
508,0.32574457,0.347231
509,0.32572696,0.3472173
510,0.32572752,0.3471999
511,0.32567686,0.34718195
512,0.32567233,0.34716326
513,0.32562816,0.34715277
514,0.3256325,0.34713086
515,0.32560354,0.34711343
516,0.32562768,0.34710225
517,0.32561696,0.34708145
518,0.32557878,0.34706634
519,0.32555854,0.34705168
520,0.32557598,0.3470325
521,0.32554227,0.3470228
522,0.32553157,0.346999
523,0.32553366,0.34698412
524,0.32548854,0.34696454
525,0.325506,0.34695125
526,0.32550788,0.34693503
527,0.3254594,0.34691653
528,0.32549584,0.34691018
529,0.3254628,0.34689355
530,0.3254618,0.3468735
531,0.32544452,0.3468581
532,0.32545358,0.34684277
533,0.3254223,0.3468293
534,0.32543236,0.3468105
535,0.32538074,0.34679765
536,0.32539558,0.34678075
537,0.32539546,0.34675917
538,0.3253135,0.3467415
539,0.32538754,0.34672746
540,0.3253308,0.346712
541,0.32531515,0.34669462
542,0.32529458,0.34668538
543,0.32530877,0.34666502
544,0.32530633,0.34665185
545,0.3252947,0.3466377
546,0.32528263,0.34662017
