,training_loss,testing_loss,learning_rate
315,0.016059076,0.016166762,0.001
316,0.023637313,0.02352394,0.001
317,0.01792088,0.018137606,0.001
318,0.015517594,0.016920503,0.001
319,0.014307959,0.014772389,0.001
320,0.01591683,0.01599361,0.001
321,0.014006017,0.014373491,0.001
322,0.013577879,0.014052886,0.001
323,0.014068632,0.014374853,0.001
324,0.015193273,0.015383848,0.001
325,0.01728628,0.017336799,0.001
326,0.019242711,0.01925433,0.001
327,0.016151996,0.016368724,0.001
328,0.01341591,0.014042853,0.001
329,0.013389305,0.014111068,0.001
330,0.013556,0.014037485,0.001
331,0.014299829,0.014569493,0.001
332,0.016861698,0.016928589,0.001
333,0.023702445,0.023589259,0.001
334,0.015525053,0.015895728,0.001
335,0.014568549,0.015957827,0.001
336,0.013672257,0.014274006,0.001
337,0.01552217,0.015671298,0.001
338,0.015243404,0.015419633,0.001
339,0.01428293,0.01460642,0.001
340,0.014078063,0.014455443,0.001
341,0.014385829,0.014706391,0.001
342,0.015022955,0.015284131,0.001
343,0.015992256,0.016185833,0.001
344,0.018426113,0.018518519,0.001
345,0.018384216,0.018537674,0.001
346,0.01398884,0.014494871,0.001
347,0.012989736,0.013928531,0.001
348,0.013038343,0.013881597,0.001
349,0.013172813,0.013716804,0.001
350,0.0140006095,0.014302446,0.001
351,0.01726503,0.017348764,0.001
352,0.024761116,0.024775062,0.001
353,0.013357174,0.014041926,0.001
354,0.014380482,0.015828535,0.001
355,0.013856325,0.0143466685,0.001
356,0.014828344,0.015035818,0.001
357,0.013486551,0.013936328,0.001
358,0.013139075,0.013637145,0.001
359,0.013539314,0.013929786,0.001
360,0.014392182,0.014651069,0.001
361,0.016022295,0.016180387,0.001
362,0.017959427,0.018082613,0.001
363,0.016004952,0.016276373,0.001
364,0.013313898,0.013872105,0.001
365,0.01268687,0.013520861,0.001
366,0.012724468,0.013480106,0.001
367,0.012884345,0.013419539,0.001
368,0.013772451,0.014090406,0.001
369,0.017871425,0.017973583,0.001
370,0.02272137,0.022856591,0.001
371,0.012660672,0.013564823,0.001
372,0.013609401,0.014889329,0.001
373,0.01369647,0.014101508,0.001
374,0.0149018895,0.015074852,0.001
375,0.013633855,0.014011814,0.001
376,0.012955331,0.01343613,0.001
