,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
40,0.10402418,0.104111865,163.83129358291626,153.64071130752563,0.001
41,0.10228882,0.102455415,154.913592338562,145.31580209732056,0.001
42,0.10218623,0.1022927,159.33923721313477,150.5714774131775,0.001
43,0.10076996,0.10096515,153.40039730072021,145.25649547576904,0.001
44,0.09959722,0.09982513,150.94244480133057,143.03268194198608,0.001
45,0.09825322,0.0985315,147.2874402999878,139.40635919570923,0.001
46,0.09741401,0.09767045,145.82056999206543,138.41677904129028,0.001
47,0.09663929,0.09693234,143.64535808563232,136.45503520965576,0.001
48,0.095611155,0.09587597,144.77181434631348,136.9918704032898,0.001
49,0.09497483,0.09526055,143.93577575683594,136.83079481124878,0.001
50,0.09414242,0.094415486,141.0709261894226,134.49240922927856,0.001
51,0.09340882,0.09366794,140.47118425369263,133.85531902313232,0.001
52,0.09321663,0.09344121,136.53165102005005,130.00471591949463,0.001
53,0.09210259,0.09234412,138.09797763824463,131.9130301475525,0.001
54,0.09161047,0.09186066,135.98779439926147,130.27608394622803,0.001
55,0.09144119,0.09166503,132.56466388702393,127.79208421707153,0.001
56,0.09120723,0.09141482,130.24605512619019,125.77974796295166,0.001
57,0.09046975,0.090692714,129.93741035461426,125.65892934799194,0.001
58,0.08982541,0.09007137,129.1018009185791,125.21611452102661,0.001
59,0.0891035,0.08936264,129.63913679122925,126.23884677886963,0.001
60,0.088034466,0.088278934,130.08043766021729,126.81698799133301,0.001
61,0.087997854,0.08819593,126.59066915512085,123.33447933197021,0.001
62,0.08748544,0.08769718,125.52303075790405,122.42450714111328,0.001
63,0.08712232,0.0873498,125.13773441314697,122.32391834259033,0.001
64,0.08635754,0.0866165,125.21015405654907,122.87074327468872,0.001
65,0.08495999,0.08522354,127.42730379104614,125.64761638641357,0.001
66,0.084444016,0.08471654,133.56938362121582,132.55703449249268,0.001
67,0.08391166,0.0842212,136.0479474067688,135.5177402496338,0.001
68,0.08272525,0.08303393,133.75834226608276,133.72204303741455,0.001
69,0.08219058,0.08250516,132.71148204803467,133.10762643814087,0.001
70,0.08147176,0.08176761,132.3375105857849,133.11182260513306,0.001
71,0.080981456,0.081268884,131.63363933563232,133.2553505897522,0.001
72,0.080480985,0.0807379,130.79383373260498,132.16780424118042,0.001
73,0.0797417,0.080020405,128.05217504501343,129.82900142669678,0.001
74,0.07936328,0.079630315,127.08736658096313,128.72918844223022,0.001
75,0.07900859,0.079319365,125.43920278549194,127.57539749145508,0.001
76,0.07865448,0.07895731,123.57323169708252,126.07513666152954,0.001
77,0.07825925,0.078548305,122.88275957107544,125.77646970748901,0.001
78,0.0780636,0.07832661,121.30488157272339,124.27458763122559,0.001
79,0.07764217,0.07787173,120.49366235733032,123.29212427139282,0.001
80,0.077285744,0.07748189,120.56155204772949,122.98897504806519,0.001
81,0.07703547,0.077239625,120.1591968536377,122.77098894119263,0.001
82,0.076871105,0.07707929,119.05325651168823,122.12004661560059,0.001
83,0.0764943,0.07672907,118.16203594207764,121.31356000900269,0.001
84,0.07531384,0.07557791,119.89048719406128,123.33788871765137,0.001
85,0.07481166,0.075104095,119.69174146652222,123.39475154876709,0.001
86,0.07429125,0.074591935,120.51898241043091,124.55341815948486,0.001
87,0.07397483,0.07426398,119.76794004440308,124.42795038223267,0.001
88,0.07421256,0.07452139,116.94309711456299,121.98781967163086,0.001
89,0.073641114,0.07393018,116.9258713722229,122.03346490859985,0.001
90,0.07352279,0.07378316,116.74885749816895,121.5354323387146,0.001
91,0.07304857,0.07329502,116.46430492401123,121.27662897109985,0.001
92,0.07311287,0.07337742,115.14348983764648,120.33860683441162,0.001
93,0.07329993,0.07358518,113.98320198059082,119.66612339019775,0.001
94,0.072820775,0.0731191,115.37452936172485,121.01626396179199,0.001
95,0.07277143,0.073069654,114.33926820755005,119.7024941444397,0.001
96,0.07218967,0.07249548,115.74820280075073,121.33358716964722,0.001
97,0.07193791,0.07222113,117.26994514465332,122.92795181274414,0.001
98,0.07195169,0.072260074,116.35792255401611,121.69092893600464,0.001
99,0.07180263,0.07209899,115.10218381881714,120.37529945373535,0.001
100,0.07184303,0.072132915,114.13334608078003,119.217848777771,0.001
101,0.07218094,0.07248965,112.84570693969727,117.24890470504761,0.001
102,0.07112184,0.071401834,114.6808385848999,119.13168430328369,0.001
103,0.07131978,0.071662575,114.59183692932129,119.2997932434082,0.001
104,0.0708458,0.07118758,115.26336669921875,119.49650049209595,0.001
