,training_loss,testing_loss,learning_rate
236,0.05310712,0.052050676,0.001
237,0.05345592,0.052591342,0.001
238,0.05882199,0.05796351,0.001
239,0.05474438,0.053034846,0.001
240,0.05616388,0.054054268,0.001
241,0.049783755,0.048394132,0.001
242,0.05122043,0.050313767,0.001
243,0.06559682,0.06309044,0.001
244,0.05118789,0.05027746,0.001
245,0.05185623,0.050566,0.001
246,0.051627785,0.050146364,0.001
247,0.049229063,0.048110396,0.001
248,0.04965681,0.048333775,0.001
249,0.051327232,0.04954358,0.001
