,Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
6076,0.7142866666666666,1.0,0.42857249999999986,0.8571424999999998,0.0,1.65024e-06,0.029685800000000002
1647,0.14285733333333336,0.5714299999999998,0.8571424999999999,1.0,1.0,1.6571700000000002e-06,-5.24213e-05
184,0.0,0.1428570000000001,0.42857249999999986,0.5714275,0.0,1.40498e-06,0.00208982
1084,0.14285733333333336,0.0,0.42857249999999986,0.8571424999999998,0.0,1.66416e-06,0.00155912
174,0.0,0.1428570000000001,0.285715,1.0,0.0,1.4e-06,0.00335711
6331,0.8571399999999999,0.1428570000000001,0.42857249999999986,0.7142850000000002,1.0,1.56984e-06,-0.000433879
939,0.0,1.0,0.285715,0.7142850000000002,1.0,1.4201499999999999e-06,-0.00114437
4622,0.5714266666666667,0.5714299999999998,0.0,1.0,0.0,1.58401e-06,0.000697635
2313,0.28571399999999997,0.28571399999999997,0.0,0.5714275,1.0,1.59845e-06,-0.00014480799999999999
730,0.0,0.71429,0.7142850000000001,0.7142850000000002,0.0,1.4e-06,0.00207694
2157,0.28571399999999997,0.0,0.8571424999999999,0.8571424999999998,1.0,1.5422299999999998e-06,-6.64781e-05
1003,0.0,1.0,0.8571424999999999,0.7142850000000002,1.0,1.69453e-06,-0.0016398
1328,0.14285733333333336,0.28571399999999997,0.42857249999999986,0.0,0.0,1.5317600000000003e-06,0.26705500000000004
2852,0.28571399999999997,0.8571399999999998,0.285715,0.285715,0.0,1.4e-06,0.0062581
4991,0.5714266666666667,0.8571399999999998,1.0,1.0,1.0,1.7e-06,-0.00041286
8148,1.0,1.0,0.7142850000000001,0.285715,0.0,1.67653e-06,0.0242092
7074,0.8571399999999999,1.0,0.285715,0.1428575,0.0,1.63826e-06,0.020476599999999998
6344,0.8571399999999999,0.1428570000000001,0.5714274999999999,0.5714275,0.0,1.48703e-06,0.376293
5403,0.7142866666666666,0.28571399999999997,0.1428575,0.7142850000000002,1.0,1.46089e-06,-0.000196525
5127,0.7142866666666666,0.0,0.0,0.4285725,1.0,1.40498e-06,-0.00011135399999999999
7651,1.0,0.428571,0.8571424999999999,0.1428575,1.0,1.4227100000000002e-06,-0.00039130199999999995
5365,0.7142866666666666,0.1428570000000001,1.0,0.285715,1.0,1.5856000000000001e-06,-0.000619572
7443,1.0,0.28571399999999997,0.1428575,0.1428575,1.0,1.4e-06,-0.000681495
486,0.0,0.428571,0.8571424999999999,0.4285725,0.0,1.7e-06,0.0821807
8131,1.0,1.0,0.5714274999999999,0.1428575,1.0,1.6115000000000002e-06,-0.000655477
192,0.0,0.1428570000000001,0.5714274999999999,0.0,0.0,1.4e-06,0.00286363
3178,0.4285733333333333,0.0,0.8571424999999999,0.7142850000000002,0.0,1.5407299999999997e-06,0.000595487
5327,0.7142866666666666,0.1428570000000001,0.5714274999999999,1.0,1.0,1.6554400000000001e-06,-0.000294946
7034,0.8571399999999999,0.8571399999999998,1.0,0.7142850000000002,0.0,1.58084e-06,0.0780698
3016,0.28571399999999997,1.0,0.5714274999999999,0.5714275,0.0,1.5528499999999999e-06,0.0233768
6620,0.8571399999999999,0.428571,0.7142850000000001,0.8571424999999998,0.0,1.6909e-06,0.00995289
2557,0.28571399999999997,0.428571,1.0,0.8571424999999998,1.0,1.40874e-06,-6.717350000000001e-05
1339,0.14285733333333336,0.28571399999999997,0.42857249999999986,0.7142850000000002,1.0,1.45149e-06,-4.20543e-05
7692,1.0,0.5714299999999998,0.0,0.8571424999999998,0.0,1.5332499999999999e-06,0.000331216
5314,0.7142866666666666,0.1428570000000001,0.5714274999999999,0.1428575,0.0,1.44089e-06,0.26214499999999996
2580,0.28571399999999997,0.5714299999999998,0.1428575,0.285715,0.0,1.7e-06,0.00643279
4437,0.5714266666666667,0.28571399999999997,0.7142850000000001,0.285715,1.0,1.52143e-06,-0.00027295
2887,0.28571399999999997,0.8571399999999998,0.5714274999999999,0.4285725,1.0,1.7e-06,-0.000715762
3792,0.4285733333333333,0.71429,0.7142850000000001,0.0,0.0,1.4e-06,0.00520581
4723,0.5714266666666667,0.5714299999999998,1.0,0.1428575,1.0,1.4581899999999998e-06,-0.000136905
686,0.0,0.71429,0.285715,1.0,0.0,1.4e-06,0.0009756610000000001
5129,0.7142866666666666,0.0,0.0,0.5714275,1.0,1.41126e-06,-0.000114399
