,Fill Factor,Pitch,Duty Cycle,Theta,Lambda,Transmission,Mode
24096,0.2,7e-07,0.72,5,1.48e-06,0.0140726,1
6116,0.44,5e-07,0.56,5,1.44e-06,-2.3800000000000001e-07,1
4489,0.6,5e-07,0.48,5,1.49e-06,0.00043763300000000004,1
16159,0.52,7e-07,0.4,5,1.36e-06,0.15281,1
18165,0.44,7e-07,0.48,5,1.35e-06,0.0736218,1
19395,0.2,7e-07,0.56,5,1.31e-06,0.0321122,1
17792,0.36,7e-07,0.48,5,1.31e-06,0.034626,1
17712,0.36,7e-07,0.48,5,1.45e-06,0.000609918,1
14939,0.28,7e-07,0.4,5,1.4e-06,0.000266939,1
8814,0.52,5e-07,0.64,5,1.66e-06,2.03e-06,1
23219,0.52,7e-07,0.64,5,1.65e-06,4.68e-06,1
14522,0.2,7e-07,0.4,5,1.43e-06,7.23e-05,1
24537,0.28,7e-07,0.72,5,1.4e-06,0.040815699999999996,1
400,0.28,5e-07,0.4,5,1.7e-06,8.6e-05,1
11792,0.6,5e-07,0.72,5,1.31e-06,8.71e-05,1
7330,0.2,5e-07,0.64,5,1.42e-06,0.000151714,1
401,0.28,5e-07,0.4,5,1.7e-06,8.690000000000001e-05,1
2883,0.28,5e-07,0.48,5,1.51e-06,-1.28e-05,1
186,0.2,5e-07,0.4,5,1.32e-06,0.00044665199999999996,1
6104,0.44,5e-07,0.56,5,1.46e-06,0.000253477,1
2425,0.2,5e-07,0.48,5,1.64e-06,0.000239083,1
3385,0.36,5e-07,0.48,5,1.32e-06,0.000598433,1
12889,0.36,5e-07,0.8,5,1.49e-06,0.000117224,1
14558,0.2,7e-07,0.4,5,1.37e-06,0.00991921,1
2578,0.2,5e-07,0.48,5,1.33e-06,0.000332425,1
16422,0.6,7e-07,0.4,5,1.64e-06,-1.9399999999999997e-05,1
8544,0.44,5e-07,0.64,5,1.39e-06,0.000304685,1
9307,0.6,5e-07,0.64,5,1.46e-06,6.53e-05,1
2807,0.28,5e-07,0.48,5,1.68e-06,-1.29e-05,1
15338,0.36,7e-07,0.4,5,1.4e-06,0.00086871,1
20801,0.52,7e-07,0.56,5,1.7e-06,-4.96e-05,1
11680,0.6,5e-07,0.72,5,1.51e-06,2.52e-05,1
6011,0.44,5e-07,0.56,5,1.67e-06,0.000116084,1
10976,0.44,5e-07,0.72,5,1.34e-06,0.000592114,1
16906,0.2,7e-07,0.48,5,1.46e-06,4.3e-05,1
18143,0.44,7e-07,0.48,5,1.39e-06,0.250027,1
12433,0.28,5e-07,0.8,5,1.62e-06,-1.4599999999999999e-05,1
8549,0.44,5e-07,0.64,5,1.38e-06,0.000177446,1
17611,0.36,7e-07,0.48,5,1.67e-06,-4.3e-05,1
5792,0.36,5e-07,0.56,5,1.31e-06,0.0007623889999999999,1
22076,0.28,7e-07,0.64,5,1.52e-06,0.000256782,1
17235,0.28,7e-07,0.48,5,1.61e-06,0.00029011099999999996,1
18163,0.44,7e-07,0.48,5,1.36e-06,0.0839503,1
14864,0.28,7e-07,0.4,5,1.55e-06,0.000485776,1
21302,0.6,7e-07,0.56,5,1.47e-06,0.0728213,1
15684,0.44,7e-07,0.4,5,1.5e-06,0.000546978,1
20001,0.36,7e-07,0.56,5,1.7e-06,-8.99e-05,1
18072,0.44,7e-07,0.48,5,1.53e-06,0.000693348,1
5726,0.36,5e-07,0.56,5,1.42e-06,4.6e-05,1
3317,0.36,5e-07,0.48,5,1.44e-06,0.00022930099999999998,1
22042,0.28,7e-07,0.64,5,1.6e-06,0.000741948,1
22506,0.36,7e-07,0.64,5,1.46e-06,0.0329085,1
2401,0.2,5e-07,0.48,5,1.7e-06,4.6e-05,1
17620,0.36,7e-07,0.48,5,1.65e-06,0.00019866,1
13376,0.44,5e-07,0.8,5,1.34e-06,0.00025860900000000003,1
17293,0.28,7e-07,0.48,5,1.49e-06,0.000309475,1
432,0.28,5e-07,0.4,5,1.62e-06,0.00026446099999999996,1
4157,0.52,5e-07,0.48,5,1.37e-06,0.000318852,1
13633,0.52,5e-07,0.8,5,1.62e-06,0.00010548299999999999,1
22128,0.28,7e-07,0.64,5,1.42e-06,0.124386,1
8162,0.36,5e-07,0.64,5,1.36e-06,0.000410738,1
8141,0.36,5e-07,0.64,5,1.4e-06,0.00011095899999999999,1
2991,0.28,5e-07,0.48,5,1.31e-06,0.000444512,1
16860,0.2,7e-07,0.48,5,1.56e-06,0.00093538,1
1727,0.52,5e-07,0.4,5,1.42e-06,6.74e-05,1
458,0.28,5e-07,0.4,5,1.56e-06,0.000131514,1
7371,0.2,5e-07,0.64,5,1.34e-06,0.000502169,1
16850,0.2,7e-07,0.48,5,1.58e-06,-2.98e-05,1
13379,0.44,5e-07,0.8,5,1.33e-06,0.000361337,1
6806,0.6,5e-07,0.56,5,1.68e-06,-1.83e-06,1
2527,0.2,5e-07,0.48,5,1.42e-06,0.00012762,1
24936,0.36,7e-07,0.72,5,1.4e-06,0.0367691,1
8563,0.44,5e-07,0.64,5,1.36e-06,0.00048699,1
1350,0.44,5e-07,0.4,5,1.38e-06,0.000130934,1
5753,0.36,5e-07,0.56,5,1.37e-06,0.00020385799999999999,1
49,0.2,5e-07,0.4,5,1.58e-06,0.000100511,1
8465,0.44,5e-07,0.64,5,1.54e-06,0.000607832,1
16917,0.2,7e-07,0.48,5,1.44e-06,0.000670516,1
13203,0.44,5e-07,0.8,5,1.69e-06,-7.049999999999999e-05,1
12055,0.2,5e-07,0.8,5,1.57e-06,0.00013122,1
13651,0.52,5e-07,0.8,5,1.58e-06,-2.99e-05,1
22083,0.28,7e-07,0.64,5,1.51e-06,0.00100075,1
8147,0.36,5e-07,0.64,5,1.39e-06,0.000264825,1
6870,0.6,5e-07,0.56,5,1.53e-06,0.00048136800000000003,1
6062,0.44,5e-07,0.56,5,1.55e-06,1.56e-05,1
20085,0.36,7e-07,0.56,5,1.5e-06,0.000300607,1
21733,0.2,7e-07,0.64,5,1.41e-06,0.0925243,1
17277,0.28,7e-07,0.48,5,1.52e-06,7.54e-05,1
17784,0.36,7e-07,0.48,5,1.32e-06,0.0494587,1
24058,0.2,7e-07,0.72,5,1.56e-06,0.000435561,1
7324,0.2,5e-07,0.64,5,1.43e-06,7.7e-05,1
17623,0.36,7e-07,0.48,5,1.64e-06,0.000272451,1
5758,0.36,5e-07,0.56,5,1.37e-06,0.000385981,1
16100,0.52,7e-07,0.4,5,1.47e-06,0.000355085,1
8193,0.36,5e-07,0.64,5,1.31e-06,0.000507899,1
17746,0.36,7e-07,0.48,5,1.39e-06,0.20372,1
2016,0.6,5e-07,0.4,5,1.66e-06,-2.23e-05,1
20815,0.52,7e-07,0.56,5,1.66e-06,-9.59e-06,1
11720,0.6,5e-07,0.72,5,1.43e-06,0.00010317200000000001,1
22075,0.28,7e-07,0.64,5,1.52e-06,0.00016969900000000002,1
20924,0.52,7e-07,0.56,5,1.43e-06,0.18123599999999998,1
3295,0.36,5e-07,0.48,5,1.48e-06,0.000252167,1
3794,0.44,5e-07,0.48,5,1.31e-06,0.000659657,1
15738,0.44,7e-07,0.4,5,1.4e-06,0.0136339,1
3203,0.36,5e-07,0.48,5,1.69e-06,-2.2899999999999998e-05,1
24881,0.36,7e-07,0.72,5,1.51e-06,0.00334667,1
23713,0.6,7e-07,0.64,5,1.45e-06,0.18875699999999998,1
18868,0.6,7e-07,0.48,5,1.54e-06,0.000527868,1
25258,0.44,7e-07,0.72,5,1.56e-06,6.75e-05,1
21217,0.6,7e-07,0.56,5,1.66e-06,-8.209999999999999e-05,1
23727,0.6,7e-07,0.64,5,1.42e-06,0.05075109999999999,1
16488,0.6,7e-07,0.4,5,1.5e-06,0.000137212,1
10048,0.28,5e-07,0.72,5,1.58e-06,5.7799999999999995e-05,1
1340,0.44,5e-07,0.4,5,1.4e-06,6.24e-05,1
2498,0.2,5e-07,0.48,5,1.48e-06,0.00040553199999999995,1
17636,0.36,7e-07,0.48,5,1.61e-06,-4.47e-07,1
20994,0.52,7e-07,0.56,5,1.31e-06,0.000106087,1
15746,0.44,7e-07,0.4,5,1.39e-06,0.0722885,1
8895,0.52,5e-07,0.64,5,1.48e-06,2.8300000000000003e-05,1
6109,0.44,5e-07,0.56,5,1.45e-06,8.190000000000001e-05,1
15339,0.36,7e-07,0.4,5,1.4e-06,0.00148879,1
18481,0.52,7e-07,0.48,5,1.51e-06,0.00018141400000000002,1
18424,0.52,7e-07,0.48,5,1.64e-06,-1.76e-05,1
9354,0.6,5e-07,0.64,5,1.37e-06,0.000530533,1
983,0.36,5e-07,0.4,5,1.33e-06,8.87e-05,1
20930,0.52,7e-07,0.56,5,1.42e-06,0.177404,1
11246,0.52,5e-07,0.72,5,1.59e-06,5.17e-05,1
8983,0.52,5e-07,0.64,5,1.33e-06,0.000812254,1
15254,0.36,7e-07,0.4,5,1.57e-06,0.000153058,1
5666,0.36,5e-07,0.56,5,1.54e-06,2.6000000000000002e-05,1
4577,0.6,5e-07,0.48,5,1.33e-06,0.0005064480000000001,1
19754,0.28,7e-07,0.56,5,1.37e-06,0.0504213,1
592,0.28,5e-07,0.4,5,1.31e-06,0.00012545299999999998,1
19368,0.2,7e-07,0.56,5,1.35e-06,0.030444099999999998,1
7354,0.2,5e-07,0.64,5,1.37e-06,0.000304309,1
13256,0.44,5e-07,0.8,5,1.56e-06,0.00023286400000000003,1
1736,0.52,5e-07,0.4,5,1.4e-06,4.09e-05,1
21288,0.6,7e-07,0.56,5,1.5e-06,0.0020004000000000003,1
2844,0.28,5e-07,0.48,5,1.59e-06,-1.99e-05,1
