,training_loss_mse,testing_loss_mse,training_loss_mae,testing_loss_mae,learning_rate
46,0.13893953,0.1394653,218.2852268218994,229.22046184539795,0.001
47,0.1381703,0.13871984,218.4640884399414,229.58669662475586,0.001
48,0.13701232,0.13759622,216.2015676498413,226.21376514434814,0.001
49,0.13595362,0.13655542,213.33439350128174,222.22659587860107,0.001
50,0.13527471,0.13582766,213.20383548736572,221.81615829467773,0.001
51,0.13452947,0.1350703,212.97006607055664,221.61273956298828,0.001
52,0.13338633,0.1339389,209.58757400512695,217.93668270111084,0.001
53,0.13275939,0.13329381,209.87744331359863,217.77222156524658,0.001
54,0.13204907,0.13255236,209.31861400604248,216.27137660980225,0.001
55,0.13098454,0.13145715,205.4997205734253,211.01694107055664,0.001
56,0.12990707,0.13030256,199.75016117095947,204.56082820892334,0.001
57,0.12911588,0.12947218,197.52485752105713,201.9446849822998,0.001
58,0.12837529,0.12871803,195.19550800323486,198.26096296310425,0.001
59,0.1275884,0.12795106,194.59155797958374,197.5514054298401,0.001
60,0.1268446,0.12723707,195.54859399795532,198.02566766738892,0.001
61,0.12687458,0.12730457,202.685284614563,206.66861534118652,0.001
62,0.12680785,0.12723589,205.21249771118164,210.327410697937,0.001
63,0.12668099,0.1270913,206.60104751586914,212.2307300567627,0.001
64,0.12586008,0.12625033,205.2900791168213,210.5660915374756,0.001
65,0.12603863,0.12642798,207.7422857284546,214.310884475708,0.001
66,0.12544006,0.12584114,206.83457851409912,213.3103847503662,0.001
67,0.12467197,0.12507957,205.1682949066162,211.53240203857422,0.001
68,0.12404663,0.12443864,203.934907913208,210.50913333892822,0.001
69,0.12378293,0.12417458,204.3708086013794,211.19122505187988,0.001
70,0.122918226,0.123334385,202.1662712097168,209.08420085906982,0.001
71,0.12227056,0.12265526,200.85628032684326,207.98108577728271,0.001
72,0.12210073,0.12247985,201.36606693267822,209.28380489349365,0.001
73,0.12143987,0.12178577,200.27589797973633,208.28142166137695,0.001
74,0.120845325,0.12118599,198.82025718688965,207.20527172088623,0.001
75,0.12022047,0.12056779,197.01147079467773,205.2018642425537,0.001
76,0.120042406,0.1203551,197.38867282867432,205.64699172973633,0.001
77,0.119391315,0.11968109,196.18017673492432,204.23455238342285,0.001
78,0.11886841,0.11914436,195.34848928451538,203.42776775360107,0.001
79,0.11824031,0.11852251,193.69488954544067,201.76124572753906,0.001
80,0.11765411,0.117917396,192.00323820114136,200.22404193878174,0.001
81,0.117191896,0.11746162,190.80243110656738,198.978853225708,0.001
82,0.11694344,0.11719246,190.77072143554688,198.81798028945923,0.001
83,0.11638237,0.11662903,189.66022729873657,197.58254289627075,0.001
84,0.115889125,0.116138,188.02491426467896,195.88123559951782,0.001
85,0.1150555,0.115320064,184.8979353904724,192.83298254013062,0.001
86,0.11468219,0.11494463,183.88994932174683,192.11523532867432,0.001
87,0.11408908,0.11436995,181.5669298171997,189.78533744812012,0.001
88,0.113832586,0.11408018,181.2219262123108,189.6818995475769,0.001
89,0.11313313,0.113388844,178.93892526626587,187.181556224823,0.001
90,0.112655215,0.11292817,177.2783875465393,185.55006980895996,0.001
91,0.112316094,0.112595394,176.31444931030273,184.53688621520996,0.001
92,0.11176761,0.11205731,174.40952062606812,182.54109621047974,0.001
