Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 7e-07, 0.72, 0.6, 1, 1.45481e-06, -9.57697e-05
5, 7e-07, 0.8, 0.2, 0, 1.46061e-06, 0.215136
5, 7e-07, 0.8, 0.2, 1, 1.42281e-06, -4.56933e-05
5, 7e-07, 0.8, 0.28, 0, 1.46646e-06, 0.233278
5, 7e-07, 0.8, 0.28, 1, 1.43207e-06, -3.17509e-05
5, 7e-07, 0.8, 0.36, 0, 1.47038e-06, 0.25202
5, 7e-07, 0.8, 0.36, 1, 1.43957e-06, -3.3741e-05
5, 7e-07, 0.8, 0.44, 0, 1.4763e-06, 0.266743
5, 7e-07, 0.8, 0.44, 1, 1.45097e-06, -9.82396e-05
5, 7e-07, 0.8, 0.52, 0, 1.48227e-06, 0.291614
5, 7e-07, 0.8, 0.52, 1, 1.46061e-06, -0.000102939
5, 7e-07, 0.8, 0.6, 0, 1.49031e-06, 0.304501
5, 7e-07, 0.8, 0.6, 1, 1.43021e-06, -2.5522e-05
5, 9e-07, 0.4, 0.2, 0, 1.56231e-06, 0.288331
5, 9e-07, 0.4, 0.2, 1, 1.44146e-06, -9.20329e-05
5, 9e-07, 0.4, 0.28, 0, 1.57124e-06, 0.234793
5, 9e-07, 0.4, 0.28, 1, 1.61985e-06, -6.28649e-05
5, 9e-07, 0.4, 0.36, 0, 1.58483e-06, 0.155571
5, 9e-07, 0.4, 0.36, 1, 1.67667e-06, -4.11657e-05
5, 9e-07, 0.4, 0.44, 0, 1.59866e-06, 0.08386
5, 9e-07, 0.4, 0.44, 1, 1.64901e-06, -5.05185e-05
5, 9e-07, 0.4, 0.52, 0, 1.61036e-06, 0.0327741
5, 9e-07, 0.4, 0.52, 1, 1.67411e-06, -5.10934e-05
5, 9e-07, 0.4, 0.6, 0, 1.61747e-06, 0.00651235
5, 9e-07, 0.4, 0.6, 1, 1.47829e-06, -5.51262e-05
5, 9e-07, 0.48, 0.2, 0, 1.59866e-06, 0.324206
5, 9e-07, 0.48, 0.2, 1, 1.57349e-06, -0.000142033
5, 9e-07, 0.48, 0.28, 0, 1.60332e-06, 0.292798
5, 9e-07, 0.48, 0.28, 1, 1.44525e-06, -6.87239e-05
5, 9e-07, 0.48, 0.36, 0, 1.60801e-06, 0.248704
5, 9e-07, 0.48, 0.36, 1, 1.67667e-06, -4.25612e-05
5, 9e-07, 0.48, 0.44, 0, 1.61747e-06, 0.177238
5, 9e-07, 0.48, 0.44, 1, 1.68696e-06, -3.6523e-05
5, 9e-07, 0.48, 0.52, 0, 1.62704e-06, 0.120472
5, 9e-07, 0.48, 0.52, 1, 1.68437e-06, -3.76114e-05
5, 9e-07, 0.48, 0.6, 0, 1.63673e-06, 0.0693534
5, 9e-07, 0.48, 0.6, 1, 1.45481e-06, -2.74239e-05
5, 9e-07, 0.56, 0.2, 0, 1.62704e-06, 0.297834
5, 9e-07, 0.56, 0.2, 1, 1.56009e-06, -0.000150112
5, 9e-07, 0.56, 0.28, 0, 1.62946e-06, 0.273297
5, 9e-07, 0.56, 0.28, 1, 1.60801e-06, -0.000105385
5, 9e-07, 0.56, 0.36, 0, 1.63187e-06, 0.244543
5, 9e-07, 0.56, 0.36, 1, 1.63673e-06, -4.09227e-05
5, 9e-07, 0.56, 0.44, 0, 1.63917e-06, 0.201254
5, 9e-07, 0.56, 0.44, 1, 1.66398e-06, -3.76749e-05
5, 9e-07, 0.56, 0.52, 0, 1.64654e-06, 0.150728
5, 9e-07, 0.56, 0.52, 1, 1.64901e-06, -3.2582e-05
5, 9e-07, 0.56, 0.6, 0, 1.65397e-06, 0.110459
5, 9e-07, 0.56, 0.6, 1, 1.44906e-06, -2.77064e-05
5, 9e-07, 0.64, 0.2, 0, 1.64654e-06, 0.253053
5, 9e-07, 0.64, 0.2, 1, 1.56231e-06, -0.000101021
5, 9e-07, 0.64, 0.28, 0, 1.64901e-06, 0.238337
5, 9e-07, 0.64, 0.28, 1, 1.43394e-06, -6.10869e-05
5, 9e-07, 0.64, 0.36, 0, 1.65397e-06, 0.208098
5, 9e-07, 0.64, 0.36, 1, 1.44525e-06, -3.69295e-05
5, 9e-07, 0.64, 0.44, 0, 1.65646e-06, 0.187563
5, 9e-07, 0.64, 0.44, 1, 1.45481e-06, -3.59131e-05
5, 9e-07, 0.64, 0.52, 0, 1.66398e-06, 0.146381
5, 9e-07, 0.64, 0.52, 1, 1.44715e-06, -2.89946e-05
