Fill Factor,Pitch,Duty Cycle,Theta,Mode,Lambda,Transmission
5, 5e-07, 0.8, 0.6, 0, 1.59845e-06, 0.00181117
5, 5e-07, 0.8, 0.6, 1, 1.62477e-06, -3.08577e-05
5, 6.42857e-07, 0.4, 0.2, 0, 1.5498e-06, 0.00106462
5, 6.42857e-07, 0.4, 0.2, 1, 1.56984e-06, -0.000474322
5, 6.42857e-07, 0.4, 0.257143, 0, 1.56053e-06, 0.000985907
5, 6.42857e-07, 0.4, 0.257143, 1, 1.62477e-06, -0.000437365
5, 6.42857e-07, 0.4, 0.314286, 0, 1.56984e-06, 0.000908436
5, 6.42857e-07, 0.4, 0.314286, 1, 1.67653e-06, -0.000180311
5, 6.42857e-07, 0.4, 0.371429, 0, 1.50834e-06, 0.000887836
5, 6.42857e-07, 0.4, 0.371429, 1, 1.43304e-06, -0.000111382
5, 6.42857e-07, 0.4, 0.428571, 0, 1.51996e-06, 0.000872808
5, 6.42857e-07, 0.4, 0.428571, 1, 1.45416e-06, -7.67027e-05
5, 6.42857e-07, 0.4, 0.485714, 0, 1.53176e-06, 0.000804118
5, 6.42857e-07, 0.4, 0.485714, 1, 1.51558e-06, -7.26711e-05
5, 6.42857e-07, 0.4, 0.542857, 0, 1.54223e-06, 0.000531688
5, 6.42857e-07, 0.4, 0.542857, 1, 1.4176e-06, -5.3622e-05
5, 6.42857e-07, 0.4, 0.6, 0, 1.49548e-06, 0.000650417
5, 6.42857e-07, 0.4, 0.6, 1, 1.67475e-06, -4.9505e-05
5, 6.42857e-07, 0.457143, 0.2, 0, 1.56984e-06, 0.0010991
5, 6.42857e-07, 0.457143, 0.2, 1, 1.53773e-06, -0.000340186
5, 6.42857e-07, 0.457143, 0.257143, 0, 1.5069e-06, 0.00120238
5, 6.42857e-07, 0.457143, 0.257143, 1, 1.58243e-06, -0.000385366
5, 6.42857e-07, 0.457143, 0.314286, 0, 1.51558e-06, 0.00125635
5, 6.42857e-07, 0.457143, 0.314286, 1, 1.63148e-06, -0.000122679
5, 6.42857e-07, 0.457143, 0.371429, 0, 1.52436e-06, 0.0013938
5, 6.42857e-07, 0.457143, 0.371429, 1, 1.42528e-06, -0.000197156
5, 6.42857e-07, 0.457143, 0.428571, 0, 1.53474e-06, 0.00136675
5, 6.42857e-07, 0.457143, 0.428571, 1, 1.55591e-06, -0.000173481
5, 6.42857e-07, 0.457143, 0.485714, 0, 1.54374e-06, 0.00125322
5, 6.42857e-07, 0.457143, 0.485714, 1, 1.56517e-06, -0.000103063
5, 6.42857e-07, 0.457143, 0.542857, 0, 1.4e-06, 0.00135351
5, 6.42857e-07, 0.457143, 0.542857, 1, 1.40498e-06, -8.29098e-05
5, 6.42857e-07, 0.457143, 0.6, 0, 1.56672e-06, 0.00101814
5, 6.42857e-07, 0.457143, 0.6, 1, 1.5069e-06, -6.9742e-05
5, 6.42857e-07, 0.514286, 0.2, 0, 1.5185e-06, 0.00127922
