,training_loss,testing_loss
100,0.024128716,0.024906924
101,0.023643365,0.024389638
102,0.023311893,0.024036327
103,0.023153184,0.023822822
104,0.023133678,0.023757176
105,0.023252066,0.023817498
106,0.023462461,0.023998212
107,0.023722319,0.024216093
108,0.02402831,0.02449561
109,0.02426486,0.024709757
110,0.024469249,0.024896631
111,0.02453075,0.024951493
112,0.024483511,0.024909517
113,0.024200918,0.024608422
114,0.02368205,0.024098482
115,0.02294929,0.023355845
116,0.022178844,0.022597948
117,0.02156577,0.021964695
118,0.021045377,0.021439888
119,0.020657295,0.021036608
120,0.02038504,0.020756675
121,0.02029615,0.020660516
122,0.020289307,0.020641854
123,0.02037332,0.02070608
124,0.02049709,0.020808583
125,0.020708995,0.021020073
126,0.020931054,0.02123057
127,0.021159142,0.02145396
128,0.021366874,0.021665942
129,0.021490142,0.021793468
130,0.021601103,0.021901373
131,0.021583255,0.021883367
132,0.021458302,0.02177055
133,0.021292044,0.021600734
134,0.02099775,0.02130207
135,0.020586796,0.020881651
136,0.020131722,0.020426676
137,0.019686485,0.019983219
138,0.01924692,0.019546863
139,0.018918447,0.01922383
140,0.018673139,0.018996514
141,0.018555896,0.018875545
142,0.01852692,0.018828848
143,0.018565038,0.018856468
144,0.018682323,0.018964564
145,0.018821146,0.019092388
146,0.018947136,0.019212047
147,0.019134339,0.019397482
148,0.019324569,0.019577032
149,0.01948546,0.019735329
150,0.019663513,0.019902593
151,0.01979881,0.020033453
152,0.01979774,0.020020187
153,0.01988346,0.020097315
154,0.019938484,0.020144789
155,0.019959997,0.020161202
156,0.01992391,0.020132206
157,0.019848844,0.020051321
158,0.019715462,0.019918187
159,0.019551583,0.019750994
160,0.019374557,0.019574076
161,0.019178838,0.019377815
162,0.019020976,0.019214416
163,0.018834937,0.01903051
164,0.018664604,0.018868279
165,0.018518953,0.018715726
166,0.01836064,0.018560527
167,0.01828592,0.01848876
168,0.018224997,0.018417249
169,0.018191764,0.018396545
170,0.01820684,0.018414758
171,0.018236497,0.018445073
172,0.018354444,0.018550728
173,0.018449532,0.01865753
174,0.018540772,0.018749205
175,0.018668061,0.018854275
176,0.018846076,0.019052492
177,0.018962659,0.019164411
178,0.0190845,0.019302156
179,0.019230202,0.01943973
180,0.019359985,0.01958842
181,0.019441076,0.019661993
182,0.01949298,0.0197304
183,0.019588422,0.019823905
184,0.01964766,0.019892698
185,0.019701656,0.019931918
186,0.01974254,0.019980012
187,0.019810744,0.020039484
188,0.019888112,0.020138267
189,0.019967796,0.020206178
190,0.02005428,0.020316627
191,0.020102177,0.020360282
192,0.02013705,0.020406732
193,0.020131852,0.020407146
194,0.020160973,0.020458674
195,0.02016604,0.020452717
196,0.02013091,0.020438097
197,0.020057809,0.020363737
198,0.019820321,0.02012963
199,0.019472286,0.019771185
200,0.018957097,0.019252563
201,0.018288784,0.018586477
202,0.017541142,0.01782454
203,0.01675438,0.01702255
204,0.01597039,0.016239924
205,0.015319499,0.015582882
206,0.014837699,0.015094943
207,0.014503378,0.0147692645
208,0.014299464,0.014555366
209,0.014178074,0.014428051
210,0.014129082,0.014375372
211,0.014155234,0.014382247
212,0.014247207,0.014458142
213,0.014395459,0.014579808
214,0.01461929,0.014789551
215,0.014903908,0.015055585
216,0.015191304,0.015325967
217,0.015430547,0.015551549
218,0.015642202,0.015759328
219,0.015772555,0.015876684
220,0.015861047,0.015969899
221,0.015907701,0.01600128
222,0.015902743,0.015994044
223,0.015789773,0.01586629
224,0.015628181,0.01569177
225,0.015422611,0.015484273
226,0.015120575,0.015171473
227,0.014883551,0.014929431
228,0.014668455,0.014705506
229,0.014445519,0.014473961
230,0.014259855,0.014279635
231,0.014103639,0.014095867
232,0.013947389,0.013935203
233,0.013813557,0.013798319
234,0.0133652035,0.013354755
235,0.013431247,0.013393343
236,0.0134923225,0.013452272
237,0.0132781705,0.013247428
238,0.013166462,0.01313448
239,0.013125215,0.01308786
240,0.013041623,0.012999621
241,0.012974954,0.012932825
242,0.012957899,0.012888849
243,0.012828349,0.012805059
244,0.012818051,0.012774196
245,0.012736659,0.012674616
246,0.012730368,0.012652745
247,0.012673721,0.012592587
248,0.012646955,0.01257188
249,0.012606675,0.012526069
250,0.01255124,0.012461035
251,0.012536434,0.012422617
252,0.012545267,0.012405321
253,0.012493951,0.012370793
254,0.012514379,0.012363393
255,0.012459627,0.012319686
256,0.01247056,0.012320758
257,0.012380132,0.012244881
258,0.012388516,0.012244287
259,0.0123647,0.012197734
260,0.012371005,0.012191263
261,0.012383057,0.012185007
262,0.012414257,0.012229447
263,0.012328931,0.012129575
264,0.012301588,0.012142064
265,0.012365306,0.012181459
266,0.012350539,0.01215789
267,0.012253237,0.012039054
268,0.012287686,0.012077198
269,0.012459667,0.01220148
270,0.012488351,0.012227588
271,0.012379626,0.012102419
272,0.012279049,0.012037361
273,0.012340686,0.0120867705
274,0.01254563,0.01226447
275,0.012677561,0.012357989
276,0.012496489,0.012181668
277,0.012335161,0.012038885
278,0.012264199,0.011977471
279,0.012439106,0.012145749
280,0.012916561,0.012562204
281,0.013263974,0.012866715
282,0.0131148575,0.01269075
283,0.012519765,0.012147896
284,0.0120988535,0.0118213445
285,0.0119318925,0.011696028
286,0.011882047,0.011672715
287,0.012058148,0.011814627
288,0.01281532,0.012489308
289,0.014228885,0.013788321
290,0.014587856,0.014082205
291,0.012791963,0.012379584
292,0.011666303,0.011473037
293,0.011449117,0.01144158
294,0.011391733,0.011437981
295,0.011423217,0.011419843
296,0.012009871,0.011839396
297,0.014851945,0.014484747
298,0.01641542,0.015890418
299,0.012217101,0.011836528
300,0.011837527,0.011966688
301,0.0113859875,0.011561506
302,0.011312824,0.011458855
303,0.011347912,0.011337854
304,0.012646708,0.0124236625
305,0.015252041,0.014826614
306,0.01393181,0.01346304
307,0.011484749,0.011320754
308,0.01139356,0.011527051
309,0.011296319,0.011518041
310,0.011107978,0.011235574
311,0.011684614,0.0116033135
312,0.0141276885,0.013830485
313,0.015781078,0.015336846
314,0.012315689,0.011941144
315,0.0113731725,0.011416669
316,0.0112508135,0.011484974
317,0.010993692,0.011120531
318,0.011559747,0.011493525
319,0.013580168,0.013330334
320,0.014777086,0.014404858
321,0.012356262,0.012024719
322,0.011126729,0.011060517
323,0.011118464,0.01127705
324,0.010972846,0.011188016
325,0.01086305,0.011006678
326,0.011301925,0.011282903
327,0.014280853,0.0140304845
328,0.016736552,0.016328024
329,0.011741038,0.011427474
330,0.011636557,0.01185107
331,0.011136646,0.011469457
332,0.010847521,0.010968341
333,0.012420664,0.012275727
334,0.014101282,0.013808822
335,0.012531201,0.012211276
336,0.010970485,0.0108794235
337,0.010807758,0.010920507
338,0.010676409,0.010834571
339,0.010621634,0.010763393
340,0.010778055,0.010837962
341,0.012087429,0.011973492
342,0.015997726,0.015725717
343,0.014472159,0.014098851
344,0.010947137,0.010915051
345,0.011310297,0.011673697
346,0.010619616,0.010945116
347,0.010835531,0.010944397
348,0.012219314,0.012126218
349,0.013234063,0.0130323
350,0.012130395,0.011913127
351,0.010855262,0.010786602
352,0.010505098,0.010603978
353,0.01039794,0.010612299
354,0.010374503,0.010641221
355,0.010412283,0.010719175
356,0.010433838,0.010776692
357,0.010354813,0.0106145535
358,0.011320198,0.011353908
359,0.016264081,0.01608883
360,0.01646141,0.016150722
361,0.010902396,0.010917995
362,0.01164986,0.012180796
363,0.0103088785,0.0106615685
364,0.011855917,0.011931488
365,0.01252351,0.0124431765
366,0.010977787,0.0109409755
367,0.01033928,0.010457229
368,0.011726595,0.011703116
369,0.010532096,0.010573526
370,0.01030611,0.010405574
371,0.010166253,0.010362941
372,0.010103878,0.0103332065
373,0.01008099,0.010346461
374,0.01006391,0.010365124
375,0.0100793075,0.010361573
376,0.010201871,0.010435221
377,0.010918728,0.01104423
378,0.01373073,0.013720541
379,0.017600875,0.017504698
380,0.013053143,0.012897564
381,0.010938749,0.011288275
382,0.011306463,0.011975437
383,0.010050895,0.01051902
384,0.011268238,0.011478643
385,0.011877765,0.011947331
386,0.0108824475,0.010912661
387,0.010156776,0.010305404
388,0.00997706,0.01022962
389,0.009888846,0.010203848
390,0.00985279,0.010228713
391,0.009918642,0.010354141
392,0.0100418925,0.01053713
393,0.010083188,0.010615519
394,0.010101348,0.010666808
395,0.010053161,0.010619061
396,0.010072312,0.010660096
397,0.010039559,0.010623037
398,0.01000888,0.010604292
399,0.009843378,0.01039839
400,0.009748194,0.0102688
401,0.010172994,0.010512157
402,0.016790053,0.016877295
403,0.021870345,0.02191156
404,0.012130168,0.012707354
405,0.010011863,0.010660737
406,0.013809484,0.014143733
407,0.009917009,0.01029687
408,0.010305242,0.010942289
409,0.010246353,0.010653953
410,0.011566039,0.0117741395
411,0.010094657,0.010319704
412,0.009689891,0.010146922
413,0.009588438,0.010052781
414,0.010125346,0.0104886675
415,0.011149703,0.011432049
416,0.011960378,0.01220966
417,0.012038228,0.012245527
418,0.011135852,0.011347083
419,0.0100648105,0.010376514
420,0.009819094,0.010180242
421,0.009669899,0.010079281
422,0.009628076,0.010053022
423,0.009473549,0.009950532
424,0.00939369,0.009909919
425,0.009354472,0.009910839
426,0.009340155,0.009924261
427,0.009326496,0.009937971
